SCENE #	SETUP #	SHOT #	SUBJECT	SHOT SIZE	CAMERA	ANGLE	MOVEMENT	EQUIPMENT	LENS	NOTES	PRIORITY	PAGE(S)	SCRIPT TIME (MIN)	SETUP TIME (MIN)	RESET  TIME (MIN)	EST. # OF TAKES	SHOOT TIME (MIN)
6	1	A	Alice + Jesse	LS	A CAM	Low Angle	Pan		17 mm	Establishing shot		Establishing	0.125	10	1	5	16
6	2	A	Alice + Jesse	MS	A CAM	Eyelevel	Static		24 mm	Angled shot		"Okay: worst date" -> "I thinkI was that for Charlie"	1	10	1	5	20
6	3	A	Alice OTS Jesse	MS	A CAM	Eyelevel	Static		35 mm	French over		"Anyone that you wish..." "Center console"	0.5	10	1	5	18
6	4	A	Jesse OTS Alice	MS	A CAM	Eyelevel	Static		35 mm	French over		"Anyone that you wish..." "Center console"	0.5	10	1	5	18
6	5	A	Alice + Jesse	LS	A CAM	Low Angle	Static		24 mm	Establish car shot		"Yeah, center console" -> walk back to car	0.25	10	1	5	16
6	6	A	Phone 	MS	A CAM	Low Angle	Static		17 mm	Low angle on phone in foreground, window in background as Alice enters		Alice picking up napkins and phone	0.25	10	1	5	16
6	7	A	Alice	MS	A CAM	Eyelevel	Static		50 mm	Alice foreground on phone, Jesse in background (half-screen)		"Hey...did we just go on a date?" -> end	0.5	10	1	5	18
6	8	A	Alice	CU	A CAM	Eyelevel	Static		50 mm	Alice on phone looking left, half-screen		"Hey...did we just go on a date?" -> end	0.5	10	1	5	18
6	9	A	Jesse	MS	A CAM	Eyelevel	Static		50 mm	FO Jesse alone looking right, half-screen		"Hey...did we just go on a date?" -> end	0.5	10	1	5	18
6	10	A	Jesse	CU	A CAM	Eyelevel	Static		50 mm	FO Jesse alone looking right, half-screen		"Hey...did we just go on a date?" -> end	0.5	10	1	5	18
6	11	A	Phone OTS Alice	CU	A CAM	Eyelevel	Static		35 mm	Alice on phone looking left, half-screen		Pulling it from car. "Full battery." Pull out plug	0.5	10	1	5	18
